sibling#n. 兄弟或姊妹
assorted#adj. 混杂的
efface#v. 擦掉，抹去；消除
condiment#n. 调味品，佐料
kangaroo#n. 袋鼠
span#n. 跨度；两个界限间的距离
repose#n.&v. 躺着休息，安睡
meditate#v. 沉思，深思；仔细考虑
ravenous#adj. 饿极了的，贪婪的
despoil#v. 夺取，抢夺
treason#n. 叛国罪
enervate#v. 使虚弱，使无力
truant#n. 逃学者
disarray#n. 混乱
polymath#n. 博学的人，博识者
duet#n. 二重唱
parity#n. 平等；同等；平价，价值对等
trumpery#n. 无价值的杂物，徒有其表的东西
favorable#adj. 有利的；赞成的
pensive#adj. 沉思的；忧思的
strut#n. 支柱
deviation#n. 背离
metaphor#n. 隐喻，暗喻；象征
irredeemable#adj. 无法挽回的
repine#v. 不满，心中抱怨
flair#n. 天赋，本领，才华
pusillanimous#adj. 胆怯的；怯懦的
magpie#n. 鹊；饶舌的人
invertebrate#adj.&n. 无脊椎的（动物）
sneaking#adj. 秘密的，不公开的
constituent#n. 成分；选区内的选民
conundrum#n. （答案有双关意义的）谜语；难题
potable#adj. 适于饮用的
lank#adj. 瘦削的；稀疏的，平直的
aeronautics#n. 航空学
implore#v. 哀求，恳求，乞求
solicit#v. 恳求；（妓女）拉客
adopt#v. 收养；采纳
manipulate#v. 操纵；控制
affiliate#v. 加入；联合
bland#adj. （人）情绪平稳的；（食物）无味的
pendent#adj. 吊着的；悬挂的
operetta#n. 小歌剧
bark#n. 树皮；犬吠声；似吠声   vi. 吠叫； 厉声说话   vt. 大声喊出； 厉声说出
unpremeditated#adj. 非预谋的
sibilant#adj. 发出咝咝声的
compulsory#adj. 强制性的，命令性的
extinguish#v. 熄灭；消除
charitable#adj. 仁慈的；宽厚的
mechanism#n. 结构，机制
apprehend#v. 逮捕；恐惧
conscript#v. 强行征兵，征召
chicanery#n. 诡计，狡诈
repeal#v. 废除（法律）
shawl#n. （妇女用）披肩
blue#adj. 忧伤的，沮丧的
depression#n. 抑郁，消沉
tangential#adj. 切线的；离题的
amorphous#adj. 无定形的
indecipherable#adj. 无法破译的；难辨认的
meritorious#adj. 值得赞赏的
feisty#adj. 活跃的；易怒的
minaret#n. （清真寺的）光塔
queue#n. 长队
prod#v. 刺，捅；激励
throng#v. 拥挤
constitution#n. 宪法；体质
rescript#n. 公告，法令；重抄
deference#n. 敬重，尊敬
petroglyph#n. 岩石雕刻；岩石画
overthrow#v. 推翻；打倒；将…赶下台
coax#v. 哄诱，巧言诱哄
circumlocutory#adj. 委婉曲折的，迂回的
churl#n. 粗鄙之人
genealogy#n. 家谱学；家谱；宗谱
mettle#n. 勇气，才能
peevish#adj. 坏脾气的，易怒的
comparison#n. 比较，对照；比喻
slither#v. （蛇）滑动，扭动前进
prosecute#v. 起诉，检举；指控
imperious#adj. 傲慢的，专横的
nocturnal#adj. 夜晚的；夜间发生的；（动物）夜间活动的
gospel#n. 福音书；福音；教义；信条
molt#n. 换羽期，脱毛期
denunciate#v. 公开指责，公然抨击，谴责
patch#n. 补丁；一小片（土地）
expedient#adj. 有利的
impulsive#adj. 易冲动的；草率的
pestle#n. （捣研草药、调料、谷物等的）捣锤，碾槌，杵
guru#n. 专家；权威；领袖
cob#n. 玉米棒子；雄天鹅
collar#n. 衣领；戴在动物颈部的项圈
regulate#v. 管制；调整
concave#adj. 凹的
anorexia#n. 厌食症
authenticity#n. 确实性，真实性
empirical#adj. 经验主义的；以经验为依据的
beam#n. （房屋等）大梁；光线
empiricism#n. 经验主义，经验论
monotone#adj. 单调的
aggrandize#v. 增大，扩张；吹棒
agrarian#adj. 土地的
configuration#n. 结构，配置；轮廓
entail#v. 使需要，必需
provisory#adj. 有附带条件的
patronage#n. 赞助；惠顾
deciduous#adj. 每年落叶的
tribute#n. 颂词；贡物
anticlimax#n. 令人扫兴的结局
endorse#v. 背书；赞同
faze#v. 使慌乱；使烦恼
bilingual#adj. （说）两种语言的
abscond#v. 潜逃，逃亡
litigation#n. 诉讼
championship#n. 冠军地位；锦标赛
perambulate#v. 巡视；漫步
arrhythmic#adj. 无节奏的；心律不齐的
constrict#v. 压缩，收缩
procrustean#adj. 强求一致的
skim#v. 从液体表面撇去；浏览，略读
glutinous#adj. 黏的，胶状的
panache#n. 羽饰；派头；神气十足
commodity#n. 商品
chromatic#adj. 彩色的，五彩的
transcend#v. 超越，超出
volley#v. 齐发，群射；（足球、网球）截击
orotund#adj. （声音）宏亮的；（指写作、风格等）华而不实的
abject#adj. 极可怜的；卑下的
noncommittal#adj. 不明朗的；不表态的
invigorating#adj. 使人有精神的，使人健壮的
miserly#adj. 吝啬的，小气的；极少的
intuitive#adj. 直觉的
molest#v. 骚扰，干扰；猥亵
headlong#adv. 轻率地；快速地；头朝下地
cellar#n. 地下室；酒窖
stint#v. 吝惜，节省
complicate#v. 使某事复杂化
staple#n. 主要产品
collage#n. 拼贴画
sparing#adj. 节俭的
formidable#adj. 可怕的；艰巨的
gnome#n. 地精，土地神；矮子
gust#n. 一阵狂风；（感情的）迸发
fulsome#adj. 虚伪的；过分恭维的
belligerence#n. 交战；好战性，斗争性
barb#n. （鱼钩的）倒钩；严厉的批评
diabetes#n. 糖尿病
sorcery#n. 巫术，魔法
emanate#v. 散发，流露
absorb#v. 吸收；同化；吸引…的注意
list#v. 倾斜
deceit#n. 欺骗，欺诈
toss#v. 投，掷；使摇动
inimical#adj. 不友善的；有害的，不利的
specious#adj. 似是而非的；华而不实的
inexorable#adj. 不可阻挡的；不容变更的；无情的
promenade#n. 散步；散步场所；舞会
polemic#n. 辩论，论战；争辩术
hurricane#n. 飓风
patrician#n. 贵族；豪门子弟
royalty#n. 版税
kiosk#n. 售货亭；电话亭
garrulity#n. 唠叨，饶舌
scalding#adj. 滚烫的
bargain#v. 讨价还价
prune#v. 修剪；修整；删去；削减
bumble#v. 说话含糊；拙劣地做
monotonous#adj. 单调乏味的，毫无变化的
hoary#adj. （头发）灰白的；古老的
aesthetic#adj. 美学的，有审美感的
reaper#n. 收割者
perpetuate#v. 使永存；使人记住不忘
truism#n. 不言自明的说法
repugnance#n. 嫌恶，反感
pest#n. 害虫；讨厌的人或物
benediction#n. 祝福；祈祷
sensual#adj. 肉欲的，淫荡的
calibre#n. （枪等）口径；（人或事）品德，才能
anaerobic#adj. 厌氧的
centigrade#adj. 百分度的，摄氏温度计的
dyslexia#n. 阅读障碍
gloat#v. 幸灾乐祸；洋洋得意
bassoon#n. 低音管，巴松管
insinuate#v. 暗指，暗示
heed#n. 注意，留心
farewell#n. 辞行，告别
strew#v. 撒；散播
preservative#n. 防腐剂
sophistry#n. 诡辩
barefaced#adj. 厚颜无耻的，公然的
agreeable#adj. 令人喜悦的；欣然同意的
pertinent#adj. 有关的，相关的
combat#n.&v. 格斗，搏斗
marionette#n. 牵线木偶
ointment#n. 油膏，软膏
nomad#n. 流浪者；游牧部落的人
maternal#adj. 母性的；母系的；母亲般的
fungi#n. 菌类；蘑菇；真菌
humor#v. 纵容，迁就
assimilate#v. 同化；吸收
judiciousness#n. 明智
hedge#n. 树篱；防范措施；防护物
aerate#v. 充气，让空气进入
star#adj. 时运不济的
imbibe#v. 饮，喝（酒）；吸收
oust#v. 驱逐；剥夺；罢黜
hector#v. 欺凌，威吓
stymie#v. 妨碍，阻挠
cerebral#adj. 大脑的；深思的
incinerate#v. 焚化；火化；烧死
personnel#n. （组织中的）人员，职员；人事部门
generator#n. 发电机；产生者；促使…发生的人
digit#n. 手指；数字
carafe#n. 玻璃瓶
archetype#n. 原型；典型例子
quantum#n. 量子；定量
intercede#v. 说好话，代为求情
hangdog#adj. 面有愧色的，羞愧的
impugn#v. 指责；对…表示怀疑；质疑
slipshod#adj. 马虎的，草率的
derivative#adj. 派生的；无创意的
sprain#v. 扭伤
homeostasis#n. 体内平衡；内稳态
curtail#v. 削减，缩短
flamboyant#adj. 艳丽的，炫耀的
capture#n. 战利品
hospitable#adj. 好客的；热情友好的；（气候，环境）宜人的
aquiline#adj. 鹰的，似鹰的，鹰钩状的
barrier#n. 路障；障碍
mawkish#adj. 可笑的；淡而无味的；令人讨厌的；多愁善感的
rehearse#v. 排练，预演；详述
projector#n. 幻灯机，放映机；投影仪
rote#n. 死记硬背
microbe#n. 微生物
ramify#v. 分支，分叉
impede#v. 妨碍
intumescence#n. 肿大，肿胀
pitch#v. （船只在海浪中）上下颠簸，纵摇；搭（帐篷）；扎（营）；为…定音高
impassioned#adj. 充满激情的，激昂的
pylon#n. 高压电线架；桥塔
sterilize#v. 使绝育；杀菌
mighty#adj. 强有力的，强大的
disengage#v. 脱离，解开，松开
jubilant#adj. 喜悦的，欢呼的
provender#n. （牛马吃的）草料，粮秣
illiterate#adj. 文盲的，不会读写的；知之甚少的
spark#n. 火花，火星
acquainted#adj. 了解的，熟悉的；认识的，相识的
facilities#n. 设备；设施
miser#n. 守财奴，吝啬鬼
creep#v. 匍匐前进；蹑手蹑脚地移动
delude#v. 欺骗，哄骗
detritus#n. 碎屑；狼藉
preside#v. 担任主席；负责；主持
testify#v. 见证，证实
imperative#adj. 必要的；紧急的；极重要的
consolidate#v. 巩固；（使）坚强；合并
bridle#v. 抑制，控制
priority#n. （时间，序上的）先，前；优先权；当务之急
cane#n. 拐杖
avid#adj. 渴望的
avert#v. 避免，防止
pastel#n. 彩色粉笔；彩色粉笔画；彩粉画；轻淡柔和的色彩
conference#n. 讨论会，协商会
cleavage#n. 裂缝；分裂
gargantuan#adj. 巨大的，庞大的
dialect#n. 方言
cosmopolitanism#n. 世界性，世界主义
prevision#n. 先见，预感
jubilation#n. 欢快，欢庆
extinction#n. 灭绝；消灭
sacrifice#v. 献祭；以…为祭品
irksome#adj. 令人苦恼的，讨厌的
gutter#n. 水槽；街沟
ritual#n. 仪式，例行习惯
perilous#adj. 危险的；冒险的
flag#v. 减弱，衰退；枯萎
legerdemain#n. 手法；戏法
flirt#v. 挑逗，调戏
amiss#adv. 有毛病地，出差错地
slag#n. 炉渣，矿渣
wage#v. 开始，进行（战争，运动）
hawk#n. 隼，鹰；鹰派人物
veer#v. 转向，改变方向；改变立场
incommensurate#adj. 不成比例的，不相称的
limerick#n. 五行打油诗
sermonize#v. 说教，讲道
augur#v. 占卜
outgoing#adj. 友好的；外向的；即将离职的
coarse#adj. 粗糙的；低劣的；粗俗的
fissile#adj. 易分裂的
sidle#v. （偷偷地）侧身而行
vengeful#adj. 报复的，复仇心理的
ordnance#n. 大炮；军械
ostrich#n. 鸵鸟；逃避现实的人
brochure#n. 小册子，说明书
corporeal#adj. 肉体的，身体的；物质的
ramble#n.&v. 漫步
impale#v. 刺入，刺穿
foppish#adj. 浮华的，俗丽的
mandatory#adj. 法定的；义务的；强制性的
proofread#v. 校对
malleable#adj. 可塑的，有延展性的
refurbish#v. 刷新，擦亮
babble#v. 胡言乱语；牙牙学语；喋喋不休
windfall#n. 被风吹落的果实；意外之财
exorcise#v. 驱魔；去除（坏念头等）
malfunction#n. 故障，障碍
retrenchment#n. 节省，削减
hermit#n. 隐士，遁世者；小甜饼
ready#adj. 机敏的，迅速的
pertinacious#adj. 固执的；坚持的；坚决的
intimidate#v. 恐吓；胁迫
monologue#n. 独白；个人长篇演说
inertia#n. 惰性，怠惰；惯性
renown#n. 名望，声誉
bulge#v. 膨胀，鼓起
consonance#n. 一致，调和；和音
seditious#adj. 煽动性的
suspense#n. 悬念；焦虑
stasis#n. 停滞
valedictory#adj. 告别的，离别的
guileless#adj. 厚道的，老实的
languish#v. 变得消瘦；衰弱
baleful#adj. 凶恶的，恶意的
embrace#v. 拥抱；包含
entourage#n. 随行人员；环境
mote#n. 尘埃；斑点
waste#v. 使身体消瘦；消耗
spackle#n. 填泥料（用以填塞裂缝和洞穴）
bizarre#adj. 奇异的，古怪的
dabble#v. 涉猎；浅尝
subterfuge#n. 诡计，托辞
congruous#adj. 一致的，符合的；[数]全等的
rein#v. 控制
precocious#adj. 早熟的
verbatim#adv. 逐字地，照字面地
deserted#adj. 荒芜的，无人居住的的
veracious#adj. 诚实的
enmesh#v. 使绊住，使陷入
exhume#v. 掘出，发掘（尸体）
fort#n. 要塞，城堡
molding#n. 成形；铸造；模制
vindicate#v. 为…辩护；证明…正确
histology#n. [生]组织学
measly#adj. 患麻疹的；微不足道的
duplicitous#adj. 搞两面派的，奸诈的
blackball#v. 投反对票以阻止
complementary#adj. 互补的
spleen#n. 大发脾气；大怒
chasm#n. 深渊，大沟；大差别
functionary#n. 官员，公务员
rent#n. 裂缝；租金
rivet#v. 吸引（注意力）
reimburse#v. 偿还
mettlesome#adj. 勇敢的；精神饱满的
frigidity#n. 寒冷；冷淡
stifle#v. 感到窒息；抑止
dormancy#n. 休眠
omelet#n. 煎蛋卷
trait#n. 人的显著特性
reportage#n. 报道，报道的消息，报告文学
aspire#v. 向往，有志于
gourmand#n. 喜欢吃喝的人；贪吃的人
corny#adj. 平淡无奇的；乡巴佬的
revenge#n. 报复，报仇
screed#n. 冗长的演说，长篇大论的文章
legion#n. 兵团；众多，大批
immunize#v. （常指通过注射疫苗）使免疫
multiply#v. 乘；增加；繁殖
equate#v. 认为…相等或相仿
court#v. 献殷勤；追求
ancillary#n. 助手
filings#n. 锉屑
convivial#adj. 欢乐的，狂欢的
stutter#n.&v. 口吃，结巴
consternation#n. 大为吃惊，惊骇
falsehood#n. 谎言
stoop#v. 俯身；降低身份
formative#adj. 形成的，影响发展的
ciliate#adj. 有纤毛的；有睫毛的
tendinous#adj. 腱的
nausea#n. 恶心；呕吐感
pulley#n. 滑轮，滑车；皮带轮
affluent#adj. 富裕的，丰富的
sedulity#n. 勤奋，勤勉
thread#n. 螺纹
ingress#n. 进入
scooter#n. 滑行车，踏板车
grin#v. 露齿而笑
translucent#adj. （半）透明的
encapsulate#v. 装入胶囊；压缩，概括
available#adj. 可用的，可得到的
conscience#n. 良心，是非感
emaciation#n. 消瘦，衰弱
heyday#n. 全盛时期
altruism#n. 利他主义；无私
philately#n. 集邮
convalescent#adj. 康复中的
perspicacious#adj. 敏锐的；有洞察力的
cede#v. 割让（土地权利），放弃
wearisome#adj. 使人感到疲倦或厌倦的
unrepentant#adj. 不悔悟的，不后悔的
reiterate#v. 重申，反复地说
adaptable#adj. 有适应能力的；可改编的
opaque#adj. 不透明的；难懂的
laconic#adj. 简洁的；简要的
castigate#v. 惩治，严责
incessant#adj. 无间断的，连续的
stereotype#n. 模式化的形象；固定模式
lave#v. 洗浴；冲刷；如沐春风
glare#v. 发出眩目光芒；怒目而视
fluffy#adj. 有绒毛的；松软的
nestle#v. 使舒适地安顿下来；依偎；（使）置于
inventory#n. 详细目录；存货清单
elated#adj. 兴高采烈的；得意洋洋的
disjunction#n. 分离，分裂
laceration#n. 撕裂；划伤
synchronous#adj. 同时的，同步的
vessel#n. 血管；容器；船只
repel#v. 击退，使…反感
whiff#v.&n. 轻吹，轻风
derivation#n. 发展，起源；词源
raspy#adj. （声音）刺耳的；恼人的
covert#adj. 秘密的，隐密的
expository#adj. 说明的
unmoved#adj. 无动于衷的，冷漠的；镇定的
settled#adj. 固定的
malignant#adj. 恶毒的，恶意的；恶性的
brawny#adj. （人）强壮的
patriot#n. 爱国者，爱国主义者
capricious#adj. 变化无常的，任性的
piano#n. 钢琴
swarm#n. （蜜蜂）一群；一群（人）
defray#v. 支付
connoisseur#n. 鉴赏家，行家
negation#n. 否定，否认；反面
prorogue#v. 使（议会）休会
denim#n. 粗斜纹棉布，劳动布
accomplish#v. 完成，做成功
velocity#n. 速度；迅速
tenacity#n. 坚持，固执
mortification#n. 窘迫，屈辱
ingratiate#v. 迎合，讨好
linguistics#n. 语言学
plangent#adj. 轰鸣的；悲哀的
abound#v. 充满；富于
fresco#n. 壁画
cavity#n. （牙齿等的）洞，腔
interdict#v. 禁止；切断（补给线）
brace#n. 支撑物
designation#n. 指定；名称；任命
ponderous#adj. 缓慢的，笨拙的；呆板的，冗长乏味的
nefarious#adj. 恶毒的；不道德的
opine#v. 认为，以为
potation#n. 畅饮；饮料
amend#v. 修正；通常向更好的方向变化
discretion#n. 谨慎；慎重
gastric#adj. 胃的，胃部的
context#n. （语句等的）上下文
sonnet#n. 十四行诗
torpid#adj. 迟钝的；有气无力的
crucial#adj. 决定性的，关键的
secure#v. 固定；使安全；保证
unanimous#adj. 全体意见一致的
maven#n. 专家，内行
comprehend#v. 理解；包括
category#n. 类别，范畴
toupee#n. 男用假发
extirpation#n. 根除，铲除
discretionary#adj. 自由决定的
pharmacology#n. 药理学，药物学
pique#v. 激起，引起（兴趣或好奇心）；伤害…的自尊心
contain#v. 包含，含有；控制；阻止，遏制
potboiler#n. 粗制滥造的文艺作品
blur#v. 使…模糊
bleach#v. 漂白
jocund#adj. 快乐的，高兴的
subdue#v. 征服；压制；减轻
recipe#n. 食谱
feminist#n. 女权运动者
mermaid#n. 美人鱼
clement#adj. 仁慈的；温和的
autonomous#adj. 自治的
lineage#n. 家系；血统；世系
plane#v. 刨；刨平；刨光
tarpaulin#n. 防水帆布，油布
misperceive#v. 误解；看错
interrogative#adj. 疑问的
factorable#adj. 可分解因子的
innate#adj. 生来的，天赋的
investiture#n. （宗教）任职仪式，授权仪式
domicile#n. 住处，住所
bourgeois#adj. 中产阶级的；自私拜物的
interrogate#v. 审问，审讯
mute#n. 弱音器
drove#n. 畜群；人群
votary#n. 崇拜者，热心支持者
banish#v. 放逐某人
lobby#n. 大厅，门厅；游说团体
frenetic#adj. 发狂似的；狂热的
grievance#n. 委屈；抱怨；不满
mannered#adj. 做作的；矫揉造作的
externalize#v. 使具体化；使外表化
commodious#adj. 宽敞的
mordant#adj. 讥讽的，刻薄的
hoax#n. 骗局；恶作剧
lassitude#n. 无力；困乏；倦怠
gratitude#n. 感恩之情；感激
clam#n. 蛤蜊，蛤肉；守秘密之人
diligence#n. 勤勉，勤奋
maladroit#adj. 笨拙的；不老练的
appreciable#adj. 明显的
gustation#n. 品尝；味觉
penalty#n. 刑罚，处罚；点球
obtainable#adj. 能得到的，可获得的
tolerance#n. 忍耐（力）；容忍，忍受
glitter#n. 外在的吸引力；小发光物
corporate#adj. 社团的；共同的
reticulation#n. 网目，网状
impend#v. 进行威胁；即将发生
nerve#v. 使鼓起勇气
mobile#adj. 易于移动的；（社会）流动性的；行动自如的
soporific#n. 安眠药
literate#adj. 有读写能力的；有文化修养的；通晓的
fondle#v. 抚弄，抚摸
trident#n. 三叉戟；三叉鱼叉
surcharge#n. 附加费
prescience#n. 预知，先见
pantry#n. 食品储藏室
disfigure#v. 使变丑；毁损…的容貌
mire#v. 使…陷入困境；使…陷入泥坑
officious#adj. 好管闲事的；爱指手画脚的
unobtrusive#adj. 不引人注目的
capillary#n. 毛细血管
gorilla#n. 大猩猩
vaporization#n. 蒸发
gash#n. 深长的伤口；裂缝
debilitate#v. 使虚弱；使衰弱
fusillade#n. （枪炮）齐射，连发
numismatic#adj. 钱币学的，钱币的
fern#n. 羊齿植物，蕨
snide#adj. 讽刺的，刻薄的
compromise#v. 妥协；危害
disabuse#v. 打消（某人的）错误念头；纠正
resigned#adj. 逆来顺受的，顺从的
contented#adj. 心满意足的
cripple#v. （使）残废
dome#n. 圆顶屋
carcinogen#n. 致癌物
warden#n. 看守人，管理员
imprecise#adj. 不精确的，不准确的
amplify#v. 放大；详述
facile#adj. 容易做的；肤浅的
sheathe#v. 将（刀，剑等）插入鞘
anthropoid#n. 类人猿
mountebank#n. 江湖郎中，骗子
truce#n. 停战，休战（协定）
antiquated#adj. 陈旧的，过时的
puddle#n. 水坑，水洼
coeval#adj. 同年代的
ultimate#adj. 最后的；最根本的；最重要的
torque#n. 转矩；扭矩
tread#n. 脚步声；踏板
dictator#n. 独裁者
pose#v. 摆姿势；提出；造成（威胁、危险等）
tack#n. 大头钉，平头钉
buttress#v. 支持
fraternal#adj. 兄弟的；友善的
septic#adj. 受感染的，腐败的
flatter#v. 恭维，奉承
secular#adj. 世俗的，尘世的
eclecticism#n. 折衷主义
prognosticate#v. 预测，预示
particularize#v. 详述；举例说明
formula#n. 分子式；公式；客套话
cynosure#n. 注意的焦点
badge#n. 徽章（如校徽等）
wretched#adj. 可怜的；痛苦的
daft#adj. 愚蠢的
refresh#v. 消除…的疲劳，使精神振作
orthodontics#n. 正牙学
spiritual#adj. 精神的
confound#v. 使迷惑，搞混
insipid#adj. 乏味的，枯燥的
infringe#v. 违反；侵犯
fastidious#adj. 讲究的，挑剔的
cavort#v. 腾越，欢跃
table#v. 搁置，不加考虑
paean#n. 赞美歌，颂歌
exculpate#v. 开脱，证明无罪
innocuous#adj. 无害的；无冒犯之意的
scrutinize#v. 详细检查；细读
mime#n. 哑剧表演；哑剧（演员）
obverse#n. 对立面；对应的事物
curvaceous#adj. 婀娜多姿的；曲线美的
terminate#v. 终止，结束
amoral#adj. 与道德无关的
lackadaisical#adj. 无精打采的；无兴趣的
aegis#n. 盾；保护，庇护
seclude#v. 和别人隔离
opinionated#adj. 固执己见的
nestling#n. 雏鸟；幼鸟
indebted#adj. 感激的，感恩的；负债的
loathe#v. 憎恨，厌恶
meager#adj. 贫乏的；削瘦的
urchin#n. 顽童；[动物]海胆
deduct#v. 减去，扣除；演绎
frenzy#n. 狂热，狂暴
overbearing#adj. 专横的；傲慢的
attainment#n. 成就
stouthearted#adj. 刚毅的，大胆的
trivia#n. 琐事，不重要的事情
warehouse#n. 仓库，货栈
berate#v. 猛烈责骂
annexation#n. 并吞，合并
corrode#v. 腐蚀，侵蚀
pestilent#adj. 致死的；有害的
henpecked#adj. 顺从妻子的，惧内的
theoretical#adj. 不切实际的；理论上的，推想的
stocky#adj. 矮胖的，粗壮的
ineluctable#adj. 不可避免的，必然发生的
indenture#n. 契约，合同
confirm#v. 证实，证明
coagulate#v. 使凝结
setback#n. 挫折
lurid#adj. 耀眼的；骇人听闻的，耸人听闻的
repertoire#n. （剧团等）常备剧目
cocoon#n. 茧
mandate#n. 授权，委托；任期；委任
scaffold#n. 脚手架（造房时搭的架子）
marvel#n. 奇迹
stalemate#n. 和棋局面，僵局
boast#v.&n. 自夸
sonata#n. 奏鸣曲
expand#v. 扩大，膨胀
rail#v. 咒骂，猛烈指责
prime#adj. 首要的；最好的，优质的
chimera#n. 神话怪物；幻想
avenge#v. 为…复仇，为…报仇
striated#adj. 有条纹的
coordinate#adj. 同等的
denude#v. 剥夺；夺去
scission#n. 切断，分离，分裂
descend#v. 下来，下降
raffle#n. （尤指为公益事业举办的）抽奖售物（活动）
compose#v. 写，创作；组成
wardrobe#n. 衣橱；全部服装
dummy#n. 人体模型，仿制品
vaporize#v. （使）蒸发，（使）汽化
automation#n. 自动装置
assiduous#adj. 勤勉的；专心的
girdle#v. 环绕；围绕
wiggle#v. 扭动，蠕动
lease#v. 出租
chunk#n. 短厚块状物；大量
sawdust#n. 锯屑
raillery#n. 善意的嘲弄
cultivate#v. 种植；结交（朋友等）
definite#adj. 清楚的，明确的
dissident#n. 持不同政见者
plinth#n. 柱脚，底座
cutlery#n. （刀、叉、匙等）餐具
hoe#n. 锄头
oracular#adj. 神谕的；玄妙深奥的
perpetual#adj. 连续不断的；无尽无休的；永久的
hamper#n. 有盖提篮；礼物篮
tyranny#n. 暴政；专横
extrude#v. 挤出，逐出；突出
slack#v. 松懈，怠惰
molar#n. 臼齿
jade#n. 疲惫的老马；玉，翡翠
misnomer#n. 用词不当，使用不当的名称，误称
incarnate#adj. （神灵）现身的；化身的
droplet#n. 小水滴
remission#n. （疾病的）减轻，缓和；减刑
upheaval#n. 剧变；动乱
requite#v. 报答；报复
galley#n. （轮船或飞机上的）厨房
freak#adj. 反常的
fuss#n. 大惊小怪；忙乱
disenchant#v. 对…不再抱幻想，使清醒
compass#n. 指南针，罗盘；界限，范围
literal#adj. 字面上的；忠实原义的；确确实实的
ignite#v. 激起；点燃，燃烧
tame#adj. 驯服的；乏味的，没劲的
concoct#v. 调制；捏造
taper#v. （长形物体的）逐渐变细
ungainly#adj. 笨拙的
score#n. 乐谱
quotidian#adj. 日常的；平凡的
diameter#n. 直径
sepulchral#adj. 坟墓的；阴森的
somber#adj. 忧郁的；阴暗的
estuary#n. 河口，江口
slate#v. 提名
wallop#n.&v. 重击，猛打
compunction#n. 懊悔，良心不安
address#v. 处理，对付，着手解决；致词
splice#v. 接合，衔接
muffler#n. 消音器；围巾
bedeck#v. 装饰，修饰
erase#v. 擦掉，抹去
cling#v. 紧抓住；舍不得放弃
idle#v. 无所事事；闲逛；使…停工；使无事可做
